59,Customer,Login,2015-03-23,10:42:29
2,Merchant,Login,2015-03-23,10:01:50
2,Merchant,Login,2015-03-23,10:38:58
2,Merchant,Logout,2015-03-23,10:56:59
59,Customer,Login,2015-03-23,11:20:00
59,Customer,Logout,2015-03-23,11:31:15
59,Customer,Login,2015-03-23,11:35:15
59,Customer,Logout,2015-03-23,11:56:16
59,Customer,Login,2015-03-23,11:01:17
2,Merchant,Login,2015-03-23,11:59:26,0
2,Merchant,Logout,2015-03-23,11:27:27,0
59,Customer,Login,2015-03-23,11:52:27,0
59,Customer,Logout,2015-03-23,11:25:37,0
2,Merchant,Login,2015-03-23,12:10:29,0
2,Merchant,Login,2015-03-23,12:07:35,1.12
2,Merchant,Login,2015-03-23,12:01:41,1.12
2,Merchant,Logout,2015-03-23,12:17:41,0
2,Merchant,Logout,2015-03-23,12:31:41,0
2,Merchant,Login,2015-03-23,12:34:41,1.12
2,Merchant,Logout,2015-03-23,12:39:41,0
2,Merchant,Login,2015-03-23,12:43:41,1.12
2,Merchant,Logout,2015-03-23,12:47:41,0
56,Customer,Login,2015-03-23,12:55:41,1.12
2,Merchant,Login,2015-03-23,12:31:43,1.12
2,Merchant,Logout,2015-03-23,12:14:44,0
2,Merchant,Login,2015-03-23,12:22:44,1.12
2,Merchant,Logout,2015-03-23,12:29:44,0
59,Customer,Login,2015-03-23,12:46:46,1.12
2,Merchant,Login,2015-03-23,12:58:46,1.12
62,Merchant,Login,2015-03-23,13:26:59,1.12
59,Customer,Logout,2015-03-23,14:51:10,0
2,Merchant,Login,2015-03-23,14:33:46,1.12
2,Merchant,Logout,2015-03-23,14:35:53,0
59,Customer,Login,2015-03-23,15:56:07,1.12
59,Customer,Login,2015-03-23,15:37:11,1.12
2,Merchant,Login,2015-03-23,15:22:38,1.12
2,Merchant,Logout,2015-03-23,15:59:39,0
2,Merchant,Login,2015-03-23,15:24:44,1.12
2,Merchant,Logout,2015-03-23,16:45:03,0
56,Customer,Login,2015-03-23,16:25:10,1.12
56,Customer,Login,2015-03-23,16:33:34,1.12
56,Customer,Logout,2015-03-23,16:50:57,0
56,Customer,Login,2015-03-23,16:56:57,1.12
56,Customer,Logout,2015-03-23,16:26:58,0
73,Merchant,Login,2015-03-23,17:45:38,1.12
73,Merchant,Login,2015-03-23,17:45:38,1.12
73,Merchant,Login,2015-03-23,17:01:40,1.12
73,Merchant,Login,2015-03-23,17:27:40,1.12
73,Merchant,Login,2015-03-23,18:20:09,1.12
73,Merchant,Login,2015-03-23,18:20:09,1.12
73,Merchant,Login,2015-03-23,18:51:16,1.12
73,Merchant,Logout,2015-03-23,18:11:17,0
73,Merchant,Login,2015-03-23,18:33:19,1.12
73,Merchant,Logout,2015-03-23,18:59:19,0
42,Merchant,Login,2015-03-23,18:01:23,1.12
42,Merchant,Logout,2015-03-23,18:12:23,0
42,Merchant,Login,2015-03-23,18:44:24,1.12
42,Merchant,Login,2015-03-23,18:25:27,1.12
42,Merchant,Logout,2015-03-23,18:35:27,0
79,Customer,Logout,2015-03-23,18:43:29,0
79,Customer,Login,2015-03-23,18:52:29,1.12
79,Customer,Logout,2015-03-23,18:03:30,0
79,Customer,Login,2015-03-23,18:09:30,1.12
79,Customer,Logout,2015-03-23,18:15:30,0
79,Customer,Login,2015-03-23,18:27:30,1.12
59,Customer,Login,2015-03-23,18:28:42,1.12
65,Merchant,Login,2015-03-23,18:37:42,1.12
65,Merchant,Logout,2015-03-23,18:34:47,0
59,Customer,Logout,2015-03-23,18:41:47,0
56,Customer,Login,2015-03-23,18:51:47,1.12
65,Merchant,Login,2015-03-23,18:11:49,1.12
65,Merchant,Logout,2015-03-23,18:25:58,0
65,Merchant,Login,2015-03-23,18:51:59,1.12
56,Customer,Logout,2015-03-23,19:05:19,0
56,Customer,Login,2015-03-23,19:11:19,1.12
56,Customer,Logout,2015-03-23,19:15:19,0
56,Customer,Login,2015-03-23,19:50:30,1.12
